x,y,z,cp
2.488219e-01,1.278603e-02,4.950133e+00,3.286883e-01
2.377735e-01,1.210812e-02,4.950130e+00,3.159516e-01
2.245505e-01,1.052065e-02,4.950126e+00,2.947564e-01
2.089819e-01,7.880372e-03,4.950121e+00,2.636799e-01
1.909824e-01,4.072677e-03,4.950116e+00,2.235332e-01
1.706048e-01,-1.027709e-03,4.950110e+00,1.659209e-01
1.480656e-01,-7.448151e-03,4.950103e+00,8.971087e-02
1.237446e-01,-1.503629e-02,4.950095e+00,-1.722744e-02
9.812597e-02,-2.331605e-02,4.950087e+00,-1.744975e-01
7.165187e-02,-3.111143e-02,4.950079e+00,-3.730274e-01
4.480069e-02,-3.659094e-02,4.950071e+00,-5.028065e-01
1.844082e-02,-3.868297e-02,4.950064e+00,-4.678977e-01
-6.334479e-03,-3.770824e-02,4.950056e+00,-3.089630e-01
-2.875066e-02,-3.477867e-02,4.950050e+00,-1.276552e-01
-4.844592e-02,-3.088391e-02,4.950044e+00,4.509018e-02
-6.533153e-02,-2.653755e-02,4.950039e+00,2.173458e-01
-7.950405e-02,-2.209708e-02,4.950035e+00,3.969568e-01
-9.116227e-02,-1.774404e-02,4.950031e+00,5.890021e-01
-1.005072e-01,-1.346482e-02,4.950028e+00,8.073644e-01
-1.067041e-01,-8.432416e-03,4.950026e+00,9.013244e-01
-1.066019e-01,-2.569773e-03,4.950026e+00,-1.103771e+00
-1.007481e-01,3.130255e-03,4.950028e+00,-8.106068e-01
-9.214868e-02,8.479787e-03,4.950031e+00,-7.849221e-01
-8.103221e-02,1.371844e-02,4.950035e+00,-7.464602e-01
-6.730769e-02,1.889993e-02,4.950039e+00,-7.229386e-01
-5.082497e-02,2.389677e-02,4.950044e+00,-6.933502e-01
-3.155226e-02,2.859681e-02,4.950050e+00,-6.780699e-01
-9.593079e-03,3.271895e-02,4.950057e+00,-6.621575e-01
1.474198e-02,3.595893e-02,4.950064e+00,-6.581917e-01
4.090754e-02,3.780949e-02,4.950071e+00,-6.467672e-01
6.811472e-02,3.739863e-02,4.950079e+00,-5.273525e-01
9.540036e-02,3.473274e-02,4.950087e+00,-3.240572e-01
1.219332e-01,3.115054e-02,4.950095e+00,-1.756246e-01
1.470493e-01,2.773441e-02,4.950103e+00,-9.782376e-02
1.701811e-01,2.468409e-02,4.950110e+00,-5.193909e-02
1.909419e-01,2.200641e-02,4.950116e+00,-2.021579e-02
2.091382e-01,1.960431e-02,4.950121e+00,6.608212e-03
2.247466e-01,1.734009e-02,4.950126e+00,5.305708e-02
2.379001e-01,1.524104e-02,4.950130e+00,1.275471e-01
2.488579e-01,1.358948e-02,4.950133e+00,1.629259e-01
2.564543e-01,1.388498e-02,4.844938e+00,3.814139e-01
2.453449e-01,1.328278e-02,4.844930e+00,3.680079e-01
2.319982e-01,1.176531e-02,4.844920e+00,3.512687e-01
2.162162e-01,9.169139e-03,4.844907e+00,3.231847e-01
1.978858e-01,5.349884e-03,4.844893e+00,2.914951e-01
1.770349e-01,1.485372e-04,4.844877e+00,2.378812e-01
1.538644e-01,-6.492341e-03,4.844858e+00,1.457932e-01
1.287611e-01,-1.444151e-02,4.844838e+00,3.136394e-02
1.022340e-01,-2.321156e-02,4.844817e+00,-1.315900e-01
7.474684e-02,-3.155839e-02,4.844795e+00,-3.550224e-01
4.677906e-02,-3.750463e-02,4.844774e+00,-5.076231e-01
1.925296e-02,-3.985701e-02,4.844753e+00,-4.815215e-01
-6.610681e-03,-3.895549e-02,4.844734e+00,-3.124047e-01
-2.994079e-02,-3.598739e-02,4.844716e+00,-1.211356e-01
-5.034543e-02,-3.199602e-02,4.844700e+00,7.419399e-02
-6.774877e-02,-2.752885e-02,4.844687e+00,2.772764e-01
-8.227935e-02,-2.296440e-02,4.844675e+00,4.669146e-01
-9.417288e-02,-1.849275e-02,4.844666e+00,6.801786e-01
-1.036629e-01,-1.409658e-02,4.844658e+00,8.999753e-01
-1.099415e-01,-8.948080e-03,4.844651e+00,7.178234e-01
-1.098968e-01,-3.072320e-03,4.844651e+00,-1.779856e+00
-1.040938e-01,2.563207e-03,4.844658e+00,-1.163278e+00
-9.551226e-02,7.894833e-03,4.844666e+00,-1.091011e+00
-8.434755e-02,1.316310e-02,4.844676e+00,-1.016447e+00
-7.047474e-02,1.843157e-02,4.844687e+00,-9.513850e-01
-5.370544e-02,2.358671e-02,4.844701e+00,-9.242829e-01
-3.396274e-02,2.851799e-02,4.844716e+00,-8.918459e-01
-1.131516e-02,3.293785e-02,4.844734e+00,-8.521042e-01
1.393771e-02,3.651819e-02,4.844753e+00,-8.432663e-01
4.123201e-02,3.870095e-02,4.844774e+00,-8.286179e-01
6.972916e-02,3.852569e-02,4.844795e+00,-6.903931e-01
9.835397e-02,3.598012e-02,4.844817e+00,-4.497759e-01
1.261291e-01,3.247080e-02,4.844838e+00,-2.773330e-01
1.522968e-01,2.910258e-02,4.844858e+00,-1.715994e-01
1.762560e-01,2.606707e-02,4.844876e+00,-8.850883e-02
1.976264e-01,2.336585e-02,4.844893e+00,-4.300421e-02
2.162451e-01,2.090623e-02,4.844907e+00,-8.300615e-03
2.321275e-01,1.856859e-02,4.844919e+00,5.202579e-02
2.454434e-01,1.639864e-02,4.844930e+00,1.359528e-01
2.564835e-01,1.468244e-02,4.844938e+00,1.662183e-01
2.645953e-01,1.512147e-02,4.728603e+00,3.894358e-01
2.534320e-01,1.459579e-02,4.728592e+00,3.837075e-01
2.399643e-01,1.314833e-02,4.728578e+00,3.726354e-01
2.239649e-01,1.059386e-02,4.728563e+00,3.494386e-01
2.052894e-01,6.755817e-03,4.728544e+00,3.140563e-01
1.839380e-01,1.438724e-03,4.728523e+00,2.620991e-01
